name,ra,dec,exposure,repetitions
HT_1601-0084523,142.186084,70.17502,110,4
HT_1603-0084585,141.548064,70.357673,55,4
HT_1602-0084594,141.711009,70.265278,125,4
HT_1601-0084473,141.913589,70.131159,105,4
HT_1601-0084531,142.219395,70.122595,135,4
HT_1603-0084565,141.507531,70.350217,55,4
HT_1605-0084665,141.529198,70.567709,150,4
HT_1606-0084928,141.852395,70.661648,60,4
IT_1620-0139743,292.717287,72.04457,35,3
IT_1621-0143016,292.902973,72.180412,70,4
IT_1621-0143135,293.125459,72.128145,75,4
IT_1624-0141945,295.598522,72.45544074,40,3
IT_1625-0143379,295.7468979,72.55546611,70,4
IT_1626-0143657,294.92224,72.62267769,70,4
IT_1626-0143747,295.1193397,72.65026111,70,4
IT_1625-0143016,295.2323058,72.54988513,15,3
ST_Z_HD85471,149.76883,80.37995,1.5,6
ST_Z_HD121859,208.722168,71.903221,2,5
ST_Z_HD138733,232.21309,70.681236,2.5,5
ST_Z_HD153752,253.4078,74.291740,1,5
ST_B_1959+6508_179,299.804005,65.203827,123,4
ST_B_1959+6508_104,300.157875,65.233063,94,3
ST_B_2042+7508_28,310.303501,75.208466,60,5
ST_B_2202+4216_129,330.639142,42.240372,173,3
ST_H_BD+62.2078,336.3899071,63.417410,4,5
ST_B_2340+8015_99,355.608637,80.201736,245,5
BD+64.106,14.40291667,64.859700,6,6
Hiltner960,305.869167,39.349167,7,5
VCyg12,308.1708333,41.241389,7,7
